Type,Dimension,topN,IDMethod,ExecTime,MemUsed,Cost
0,10000,10,0,1.1185,88,18
0,10000,10,1,1.4834,0,1
0,10000,1118,0,5.59159,232,50
0,10000,1118,1,0.8789,0,0
0,10000,2227,0,8.37139,192,45
0,10000,2227,1,0.702499,0,0
0,10000,3336,0,8.05159,16,9
0,10000,3336,1,0.921499,0,0
0,10000,4445,0,7.03899,0,5
0,10000,4445,1,1.0944,0,0
0,10000,5554,0,6.44309,44,13
0,10000,5554,1,1.1355,0,0
0,10000,6663,0,5.072,0,4
0,10000,6663,1,1.2702,0,1
0,10000,7772,0,4.5908,0,3
0,10000,7772,1,1.4298,0,1
0,10000,8881,0,3.1255,132,28
0,10000,8881,1,1.4863,0,1
0,10000,9990,0,2.3912,172,36
0,10000,9990,1,1.5824,0,1
0,40000,40,0,0.886499,0,0
0,40000,40,1,6.7451,0,5
0,40000,4475,0,26.3562,120,45
0,40000,4475,1,2.0961,0,1
0,40000,8911,0,35.7881,968,222
0,40000,8911,1,2.3774,0,1
0,40000,13346,0,35.8758,152,59
0,40000,13346,1,2.8604,0,2
0,40000,17782,0,33.9771,264,79
0,40000,17782,1,6.8151,0,5
0,40000,22217,0,30.3583,0,24
0,40000,22217,1,4.2528,0,3
0,40000,26653,0,21.8512,264,70
0,40000,26653,1,4.6497,0,3
0,40000,31088,0,19.1547,0,15
0,40000,31088,1,5.433,0,4
0,40000,35524,0,13.3574,528,116
0,40000,35524,1,5.9825,0,4
0,40000,39960,0,8.54679,0,6
0,40000,39960,1,6.232,0,4
0,160000,160,0,3.2674,0,2
0,160000,160,1,32.3716,0,25
0,160000,17902,0,101.568,980,277
0,160000,17902,1,7.54269,0,6
0,160000,35644,0,181.654,3952,935
0,160000,35644,1,10.4602,0,8
0,160000,53386,0,173.935,508,240
0,160000,53386,1,12.3634,0,9
0,160000,71128,0,139.09,1320,375
0,160000,71128,1,14.7067,0,11
